zone,expansion_priority,expansion_type,estimated_budget,timeline,required_resources,growth_category,current_rides,current_revenue,growth_rate
Udyog Bhawan,70,Moderate Expansion,39647.8,Medium-term (3-6 months),"Additional drivers, Risk management team",Medium Growth,838,396478.0,48.27586206896552
Sarojini Nagar,70,Moderate Expansion,41100.700000000004,Medium-term (3-6 months),"Additional drivers, Risk management team",Medium Growth,848,411007.0,52.727272727272734
Paschim Vihar,70,Moderate Expansion,39047.4,Medium-term (3-6 months),"Additional drivers, Risk management team",Medium Growth,825,390474.0,52.0
Kadarpur,70,Moderate Expansion,40997.700000000004,Medium-term (3-6 months),Additional drivers,Medium Growth,844,409977.0,40.35087719298245
Azadpur,70,Moderate Expansion,39646.200000000004,Medium-term (3-6 months),Additional drivers,Medium Growth,847,396462.0,14.28571428571428
Nehru Place,70,Moderate Expansion,41744.200000000004,Medium-term (3-6 months),"Additional drivers, Risk management team",Medium Growth,885,417442.0,46.031746031746025
Central Secretariat,70,Moderate Expansion,39976.200000000004,Medium-term (3-6 months),Additional drivers,Medium Growth,839,399762.0,33.84615384615384
Rajiv Nagar,70,Moderate Expansion,41160.0,Medium-term (3-6 months),Standard operations,Medium Growth,884,411600.0,19.444444444444443
Hauz Rani,70,Moderate Expansion,40416.3,Medium-term (3-6 months),"Additional drivers, Risk management team",Medium Growth,850,404163.0,15.15151515151516
Saket,70,Moderate Expansion,42246.600000000006,Medium-term (3-6 months),Standard operations,Medium Growth,931,422466.0,28.20512820512821
Panchsheel Park,70,Moderate Expansion,42052.100000000006,Medium-term (3-6 months),"Additional drivers, Risk management team",Medium Growth,876,420521.0,24.59016393442624
Sadar Bazar Gurgaon,70,Moderate Expansion,37606.1,Medium-term (3-6 months),Additional drivers,Medium Growth,817,376061.0,47.169811320754704
Pataudi Chowk,70,Moderate Expansion,45070.200000000004,Medium-term (3-6 months),Standard operations,Medium Growth,907,450702.0,11.940298507462677
DLF City Court,70,Moderate Expansion,42063.100000000006,Medium-term (3-6 months),Standard operations,Medium Growth,864,420631.0,8.450704225352123
Manesar,70,Moderate Expansion,39398.200000000004,Medium-term (3-6 months),"Additional drivers, Risk management team",Medium Growth,824,393982.0,28.787878787878785
Qutub Minar,70,Moderate Expansion,39077.0,Medium-term (3-6 months),"Additional drivers, Risk management team",Medium Growth,823,390770.0,17.460317460317466
IIT Delhi,70,Moderate Expansion,38567.1,Medium-term (3-6 months),Standard operations,Medium Growth,826,385671.0,5.47945205479452
Rohini East,70,Moderate Expansion,40992.100000000006,Medium-term (3-6 months),"Additional drivers, Risk management team",Medium Growth,866,409921.0,22.05882352941177
Malviya Nagar,70,Moderate Expansion,42074.700000000004,Medium-term (3-6 months),Standard operations,Medium Growth,885,420747.0,38.095238095238095
Uttam Nagar,70,Moderate Expansion,39244.6,Medium-term (3-6 months),"Additional drivers, Risk management team",Medium Growth,825,392446.0,18.333333333333336
Gwal Pahari,70,Moderate Expansion,38452.0,Medium-term (3-6 months),"Additional drivers, Risk management team",Medium Growth,815,384520.0,10.606060606060597
Rajouri Garden,70,Moderate Expansion,41083.4,Medium-term (3-6 months),Standard operations,Medium Growth,852,410834.0,-1.449275362318836
Munirka,70,Moderate Expansion,39075.3,Medium-term (3-6 months),Additional drivers,Medium Growth,815,390753.0,1.2820512820512775
Ardee City,70,Moderate Expansion,40963.700000000004,Medium-term (3-6 months),Standard operations,Medium Growth,861,409637.0,16.666666666666675
Paharganj,70,Moderate Expansion,41327.8,Medium-term (3-6 months),Standard operations,Medium Growth,825,413278.0,10.95890410958904
Satguru Ram Singh Marg,70,Moderate Expansion,40693.5,Medium-term (3-6 months),Standard operations,Medium Growth,844,406935.0,11.764705882352944
Welcome,70,Moderate Expansion,40796.3,Medium-term (3-6 months),Standard operations,Medium Growth,836,407963.0,5.633802816901401
ITO,70,Moderate Expansion,43516.5,Medium-term (3-6 months),Standard operations,Medium Growth,878,435165.0,24.59016393442624
Pitampura,70,Moderate Expansion,39803.8,Medium-term (3-6 months),Risk management team,Medium Growth,851,398038.0,31.034482758620683
Rohini,70,Moderate Expansion,39770.4,Medium-term (3-6 months),"Additional drivers, Risk management team",Medium Growth,847,397704.0,10.44776119402986
Sushant Lok,70,Moderate Expansion,39923.700000000004,Medium-term (3-6 months),Standard operations,Medium Growth,850,399237.0,33.33333333333333
Jahangirpuri,70,Moderate Expansion,42187.3,Medium-term (3-6 months),Standard operations,Medium Growth,884,421873.0,8.450704225352123
Rohini West,70,Moderate Expansion,41477.3,Medium-term (3-6 months),Standard operations,Medium Growth,835,414773.0,11.764705882352944
Mehrauli,70,Moderate Expansion,42279.8,Medium-term (3-6 months),Standard operations,Medium Growth,915,422798.0,-1.3698630136986356
Ashok Park Main,70,Moderate Expansion,42821.100000000006,Medium-term (3-6 months),"Additional drivers, Risk management team",Medium Growth,884,428211.0,30.000000000000004
Hauz Khas,70,Moderate Expansion,42138.3,Medium-term (3-6 months),Standard operations,Medium Growth,876,421383.0,7.692307692307687
Sarai Kale Khan,70,Moderate Expansion,41756.9,Medium-term (3-6 months),Standard operations,Medium Growth,854,417569.0,6.944444444444442
Bhikaji Cama Place,70,Moderate Expansion,38673.5,Medium-term (3-6 months),Risk management team,Medium Growth,821,386735.0,12.12121212121211
Govindpuri,70,Moderate Expansion,38454.200000000004,Medium-term (3-6 months),Risk management team,Medium Growth,827,384542.0,13.157894736842104
IFFCO Chowk,70,Moderate Expansion,39892.700000000004,Medium-term (3-6 months),Standard operations,Medium Growth,830,398927.0,8.196721311475418
Gurgaon Railway Station,70,Moderate Expansion,42702.3,Medium-term (3-6 months),Standard operations,Medium Growth,876,427023.0,-5.128205128205132
Panipat,70,Moderate Expansion,40812.100000000006,Medium-term (3-6 months),Standard operations,Medium Growth,843,408121.0,5.633802816901401
Botanical Garden,70,Moderate Expansion,43006.200000000004,Medium-term (3-6 months),Standard operations,Medium Growth,863,430062.0,1.449275362318847
DLF Phase 3,70,Moderate Expansion,40105.600000000006,Medium-term (3-6 months),Standard operations,Medium Growth,842,401056.0,9.859154929577477
Mundka,70,Moderate Expansion,40537.0,Medium-term (3-6 months),Standard operations,Medium Growth,830,405370.0,20.63492063492063
Shastri Park,70,Moderate Expansion,40408.8,Medium-term (3-6 months),"Additional drivers, Risk management team",Medium Growth,867,404088.0,5.633802816901401
Saket A Block,70,Moderate Expansion,38784.0,Medium-term (3-6 months),Standard operations,Medium Growth,823,387840.0,10.769230769230775
Karkarduma,70,Moderate Expansion,39328.5,Medium-term (3-6 months),Standard operations,Medium Growth,836,393285.0,0.0
Kaushambi,70,Moderate Expansion,41650.600000000006,Medium-term (3-6 months),Risk management team,Medium Growth,855,416506.0,-3.703703703703709
Dwarka Mor,70,Moderate Expansion,40920.3,Medium-term (3-6 months),Standard operations,Medium Growth,840,409203.0,12.5
Adarsh Nagar,70,Moderate Expansion,38701.3,Medium-term (3-6 months),Standard operations,Medium Growth,858,387013.0,5.882352941176472
Maidan Garhi,70,Moderate Expansion,38861.1,Medium-term (3-6 months),Standard operations,Medium Growth,825,388611.0,-7.9999999999999964
Patel Chowk,70,Moderate Expansion,39443.200000000004,Medium-term (3-6 months),Risk management team,Medium Growth,854,394432.0,16.92307692307693
Peeragarhi,70,Moderate Expansion,41659.3,Medium-term (3-6 months),Standard operations,Medium Growth,861,416593.0,-7.692307692307687
Shivaji Park,70,Moderate Expansion,43062.4,Medium-term (3-6 months),Standard operations,Medium Growth,900,430624.0,1.5625
Vatika Chowk,70,Moderate Expansion,37505.3,Medium-term (3-6 months),Standard operations,Medium Growth,833,375053.0,0.0
Huda City Centre,70,Moderate Expansion,41253.4,Medium-term (3-6 months),Risk management team,Medium Growth,852,412534.0,6.329113924050622
Noida Sector 18,70,Moderate Expansion,38901.6,Medium-term (3-6 months),Risk management team,Medium Growth,799,389016.0,1.5625
Vinobapuri,70,Moderate Expansion,38568.8,Medium-term (3-6 months),Risk management team,Medium Growth,823,385688.0,5.882352941176472
