zone,total_rides,total_revenue,avg_monthly_rides,avg_monthly_revenue,avg_ride_growth_rate,avg_revenue_growth_rate,recent_ride_growth_rate,recent_revenue_growth_rate,ride_growth_volatility,revenue_growth_volatility,growth_consistency,market_share_percent,data_months,volume_index,normalized_avg_growth,normalized_recent_growth,growth_rate_index,normalized_volatility,consistency_index,overall_growth_index,volume_rank,growth_rank,consistency_rank,overall_rank,growth_category
Udyog Bhawan,838,396478.0,69.83333333333333,33039.833333333336,5.129038300096597,3.5761781469473033,48.27586206896552,53.57535305848358,20.976765663693627,29.580902032067502,0.5454545454545454,0.5586666666666666,12,88.30347734457324,1.0,0.9498931602987591,97.99572641195037,0.42596376080047726,46.181099619669766,79.54366365405305,114.0,1.0,115.0,1.0,Medium Growth
Sarojini Nagar,848,411007.0,70.66666666666667,34250.583333333336,4.335562466699451,0.30931569270700976,52.727272727272734,46.3666029926775,23.845124629145097,17.630021943369623,0.5454545454545454,0.5653333333333334,12,89.35721812434141,0.8967316811995014,1.0,93.80390087197009,0.3474701541310843,40.68654715281226,76.53468993193414,90.0,3.0,146.0,2.0,Medium Growth
Paschim Vihar,825,390474.0,68.75,32539.5,4.688861636960522,3.6549231335624914,52.0,55.21667920853437,24.297193255025736,24.859003890637354,0.5454545454545454,0.5499999999999999,12,86.9336143308746,0.9427124279479797,0.9918135304150084,96.23528689347911,0.33509914431855803,39.82057646593542,76.52037199643466,143.0,2.0,149.0,3.0,Medium Growth
Kadarpur,844,409977.0,70.33333333333333,34164.75,4.059583083998435,9.891223855657712,40.35087719298245,77.01527782747146,17.51681279632062,32.39629289842974,0.45454545454545453,0.5626666666666666,12,88.93572181243414,0.860813855254992,0.8606863947817239,86.07628710656847,0.5206465333325647,50.08162096964317,76.13571767725058,100.0,4.0,92.0,4.0,Medium Growth
Azadpur,847,396462.0,70.58333333333333,33038.5,4.083173606687816,3.3663750484996773,14.28571428571428,23.47326947897561,14.62869201234897,18.50551487867238,0.6363636363636364,0.5646666666666667,12,89.2518440463646,0.863884085645409,0.5672866076504506,74.52450944474256,0.5996809288044327,61.068574107219376,74.90592922397222,94.0,11.0,23.0,5.0,Medium Growth
Nehru Place,885,417442.0,73.75,34786.833333333336,3.539694261976518,4.01934237638428,46.031746031746025,49.912961485457316,20.913727227173343,23.43596150091133,0.45454545454545453,0.59,12,93.25605900948368,0.7931520029922485,0.9246325022334116,84.57442026887139,0.42768882879262027,43.57458165184705,74.87896030594777,21.0,5.0,131.0,6.0,Medium Growth
Central Secretariat,839,399762.0,69.91666666666667,33313.5,3.4890895646508047,4.432165126933478,33.84615384615384,35.36758632083266,15.981278025556998,18.847063598518393,0.45454545454545453,0.5593333333333333,12,88.40885142255004,0.7865659649602383,0.787466655005029,78.69262409781545,0.5626669581731234,53.02305070848228,73.90662027843588,110.0,7.0,68.0,7.0,Medium Growth
Rajiv Nagar,884,411600.0,73.66666666666667,34300.0,2.9069231001307814,4.368161484328232,19.444444444444443,26.271264935626306,16.416562281352423,19.902618705670914,0.6363636363636364,0.5893333333333334,12,93.15068493150685,0.7107988785253295,0.6253553155201819,67.66214533232704,0.5507552582864226,57.643777170958664,72.30319676367047,23.0,24.0,41.0,8.0,Medium Growth
Hauz Rani,850,404163.0,70.83333333333333,33680.25,5.105548359330788,10.920962519474237,15.15151515151516,28.862229596069167,25.199296246308116,39.20820536576157,0.6363636363636364,0.5666666666666667,12,89.56796628029505,0.9969428600223113,0.5770324047754406,82.89786779235631,0.3104127929148882,40.81980459495126,72.27547837951641,85.0,6.0,145.0,9.0,Medium Growth
Saket,931,422466.0,77.58333333333333,35205.5,2.5622911469149816,4.317134323868227,28.205128205128215,37.41821396993812,18.52200345840717,20.496483813239358,0.5454545454545454,0.6206666666666667,12,98.10326659641728,0.6659461421021465,0.7239690383522107,68.91553006021722,0.4931391531866667,50.88337708670303,72.26220512902299,3.0,20.0,84.0,10.0,Medium Growth
