zone,current_revenue,projected_revenue,required_investment,expected_roi_percent,payback_period_months,investment_risk
Udyog Bhawan,396478.0,667176.7724137931,39647.8,582.7586206896552,1.7575757575757576,Low
Sarojini Nagar,411007.0,709921.1818181819,41100.700000000004,627.2727272727274,1.65,Low
Paschim Vihar,390474.0,671615.28,39047.4,620.0000000000001,1.6666666666666665,Low
Kadarpur,409977.0,657401.7157894736,40997.700000000004,503.5087719298243,1.9883720930232567,Low
Azadpur,396462.0,532391.8285714285,39646.200000000004,242.85714285714275,3.500000000000001,Low
Nehru Place,417442.0,693086.2412698412,41744.200000000004,560.3174603174601,1.817307692307693,Low
Central Secretariat,399762.0,615018.4615384615,39976.200000000004,438.46153846153834,2.2285714285714295,Low
Rajiv Nagar,411600.0,573953.3333333333,41160.0,294.44444444444423,3.042253521126762,Low
Hauz Rani,404163.0,546232.4181818182,40416.3,251.51515151515156,3.4137931034482754,Low
Saket,422466.0,626116.276923077,42246.600000000006,382.05128205128204,2.4893617021276597,Low
Panchsheel Park,420521.0,608032.0032786885,42052.100000000006,345.90163934426226,2.6911764705882355,Low
Sadar Bazar Gurgaon,376061.0,628660.4641509433,37606.1,571.6981132075471,1.7865168539325846,Low
Pataudi Chowk,450702.0,594657.5641791044,45070.200000000004,219.40298507462663,3.757009345794395,Low
DLF City Court,420631.0,540303.4816901409,42063.100000000006,184.50704225352123,4.217821782178216,Low
Manesar,393982.0,586197.4606060606,39398.200000000004,387.8787878787877,2.4596273291925472,Low
Qutub Minar,390770.0,537153.6825396825,39077.0,274.60317460317447,3.203389830508476,Low
IIT Delhi,385671.0,483937.8575342466,38567.1,154.7945205479452,4.709677419354838,Low
Rohini East,409921.0,582328.9500000001,40992.100000000006,320.58823529411774,2.8531468531468525,Low
Malviya Nagar,420747.0,665180.9714285714,42074.700000000004,480.95238095238074,2.065573770491804,Low
Uttam Nagar,392446.0,542883.6333333333,39244.6,283.33333333333326,3.1304347826086962,Low
Gwal Pahari,384520.0,502206.4242424242,38452.0,206.06060606060592,3.9207920792079225,Low
Rajouri Garden,410834.0,497109.14,41083.4,110.00000000000003,5.7142857142857135,Low
Munirka,390753.0,473913.2538461538,39075.3,112.82051282051266,5.638554216867474,Low
Ardee City,409637.0,559837.2333333334,40963.700000000004,266.66666666666674,3.272727272727272,Low
Paharganj,413278.0,541224.3397260273,41327.8,209.58904109589022,3.8761061946902675,Low
Satguru Ram Singh Marg,406935.0,536196.7058823529,40693.5,217.6470588235293,3.7777777777777795,Low
Welcome,407963.0,512539.4309859154,40796.3,156.33802816901388,4.681318681318685,Low
ITO,435165.0,629205.7868852459,43516.5,345.9016393442624,2.6911764705882346,Low
Pitampura,398038.0,601174.6344827586,39803.8,410.34482758620686,2.351351351351352,Low
Rohini,397704.0,518795.9641791045,39770.4,204.47761194029854,3.9411764705882355,Low
Sushant Lok,399237.0,612163.3999999999,39923.700000000004,433.33333333333303,2.2500000000000013,Low
Jahangirpuri,421873.0,541898.8394366198,42187.3,184.50704225352123,4.217821782178216,Low
Rohini West,414773.0,546524.4235294118,41477.3,217.64705882352945,3.7777777777777777,Low
Mehrauli,422798.0,511585.57999999996,42279.8,109.99999999999987,5.714285714285717,Low
Ashok Park Main,428211.0,642316.5,42821.100000000006,399.9999999999999,2.4000000000000004,Low
Hauz Khas,421383.0,538073.6769230769,42138.3,176.92307692307674,4.333333333333336,Low
Sarai Kale Khan,417569.0,530080.6472222222,41756.9,169.44444444444434,4.453608247422682,Low
Bhikaji Cama Place,386735.0,510958.96969696967,38673.5,221.21212121212116,3.7358490566037745,Low
Govindpuri,384542.0,512048.0315789473,38454.200000000004,231.57894736842087,3.619047619047621,Low
IFFCO Chowk,398927.0,511411.3344262295,39892.700000000004,181.9672131147541,4.255813953488372,Low
Gurgaon Railway Station,427023.0,516697.82999999996,42702.3,109.9999999999999,5.714285714285717,Low
Panipat,408121.0,512737.93239436613,40812.100000000006,156.33802816901388,4.681318681318685,Low
Botanical Garden,430062.0,522307.18260869564,43006.200000000004,114.49275362318836,5.594594594594596,Low
DLF Phase 3,401056.0,520807.9323943662,40105.600000000006,198.59154929577457,4.018867924528303,Low
Mundka,405370.0,570091.7777777778,40537.0,306.34920634920627,2.9531250000000004,Low
Shastri Park,404088.0,507671.1211267605,40408.8,156.3380281690139,4.681318681318685,Low
Saket A Block,387840.0,507175.3846153846,38784.0,207.6923076923077,3.9,Low
Karkarduma,393285.0,475874.85,39328.5,109.99999999999994,5.714285714285715,Low
Kaushambi,416506.0,503972.26,41650.600000000006,109.99999999999999,5.714285714285714,Low
Dwarka Mor,409203.0,542193.975,40920.3,224.99999999999991,3.6923076923076934,Low
Adarsh Nagar,387013.0,487181.0705882353,38701.3,158.82352941176464,4.636363636363638,Low
Maidan Garhi,388611.0,470219.31,38861.1,110.00000000000001,5.714285714285714,Low
Patel Chowk,394432.0,540068.4307692308,39443.200000000004,269.2307692307693,3.2499999999999996,Low
Peeragarhi,416593.0,504077.52999999997,41659.3,109.99999999999991,5.714285714285716,Low
Shivaji Park,430624.0,523477.3,43062.4,115.62499999999996,5.565217391304349,Low
Vatika Chowk,375053.0,453814.13,37505.3,109.99999999999999,5.714285714285714,Low
Huda City Centre,412534.0,521150.54683544295,41253.4,163.2911392405061,4.557692307692312,Low
Noida Sector 18,389016.0,472897.575,38901.6,115.62500000000004,5.565217391304347,Low
Vinobapuri,385688.0,485513.1294117647,38568.8,158.8235294117646,4.6363636363636385,Low
Sikanderpur,391353.0,473537.13,39135.3,109.99999999999999,5.714285714285714,Low
IGNOU Road,403924.0,557547.5540983606,40392.4,280.32786885245883,3.155172413793105,Low
AIIMS,449519.0,598917.9617647058,44951.9,232.35294117647047,3.61061946902655,Low
Badarpur,448495.0,542678.95,44849.5,109.9999999999999,5.714285714285717,Low
Okhla,409262.0,495207.01999999996,40926.200000000004,109.99999999999987,5.714285714285718,Low
Lajpat Nagar,393459.0,556463.4428571428,39345.9,314.28571428571405,2.8965517241379324,Low
Tis Hazari,407726.0,572198.5220338983,40772.600000000006,303.38983050847446,2.9747899159663875,Low
Greater Noida,443575.0,536725.75,44357.5,110.00000000000001,5.714285714285714,Low
INA Market,391989.0,550236.411111111,39198.9,303.7037037037035,2.9724770642201843,Low
Sohna Road,410096.0,533719.1420289855,41009.600000000006,201.4492753623189,3.9807692307692304,Low
Mansarovar Park,410340.0,496511.39999999997,41034.0,109.99999999999991,5.714285714285716,Low
Anand Vihar,401098.0,485328.57999999996,40109.8,109.99999999999987,5.714285714285718,Low
Udyog Vihar,442274.0,535151.54,44227.4,110.00000000000007,5.714285714285713,Low
Basai Dhankot,425497.0,514851.37,42549.700000000004,109.99999999999997,5.714285714285715,Low
Vidhan Sabha,384050.0,464700.5,38405.0,110.00000000000001,5.714285714285714,Low
MG Road,385292.0,474581.8920634921,38529.200000000004,131.74603174603178,5.17808219178082,Low
Jasola,424511.0,569110.059375,42451.100000000006,240.62499999999983,3.5229357798165157,Low
Tughlakabad,435165.0,570549.6666666666,43516.5,211.11111111111103,3.857142857142858,Low
Ashram,427364.0,543805.2057971015,42736.4,172.46376811594212,4.404255319148935,Low
Ambience Mall,407878.0,513446.4235294117,40787.8,158.82352941176458,4.6363636363636385,Low
Civil Lines Gurgaon,413951.0,520062.3830985915,41395.100000000006,156.338028169014,4.6813186813186825,Low
Preet Vihar,399664.0,485940.67301587295,39966.4,115.8730158730157,5.55882352941177,Low
RK Puram,405689.0,490883.69,40568.9,110.00000000000001,5.714285714285714,Low
Nawada,397674.0,548920.5049180328,39767.4,280.32786885245906,3.1551724137931036,Low
Samaypur Badli,422291.0,555208.8229508196,42229.100000000006,214.7540983606556,3.812500000000002,Low
Keshav Puram,428418.0,539302.6588235294,42841.8,158.8235294117646,4.6363636363636385,Low
Khandsa,457320.0,553357.2,45732.0,109.9999999999999,5.714285714285717,Low
Arjangarh,406092.0,452420.80563380284,20304.600000000002,128.16901408450713,5.259259259259257,Low
Indraprastha,415594.0,469559.1910447762,20779.7,159.70149253731373,4.620689655172409,Low
Greater Kailash,415768.0,461502.48000000004,20788.4,120.00000000000017,5.45454545454545,Low
Ramesh Nagar,401278.0,445418.58,20063.9,120.00000000000006,5.454545454545453,Low
Rajiv Chowk,407802.0,493185.54375,20390.100000000002,318.75,2.8656716417910446,Low
Dilshad Garden,395820.0,447581.07692307694,19791.0,161.5384615384616,4.588235294117646,Low
Bahadurgarh,380322.0,422157.42000000004,19016.100000000002,120.0000000000002,5.45454545454545,Low
Old Gurgaon,380599.0,447935.74615384615,19029.95,253.84615384615384,3.3913043478260874,Low
Golf Course Road,387519.0,430146.09,19375.95,120.00000000000013,5.4545454545454515,Low
Madipur,434085.0,506432.50000000006,21704.25,233.33333333333363,3.599999999999997,Low
Indirapuram,410350.0,455488.50000000006,20517.5,120.00000000000028,5.454545454545448,Low
Chandni Chowk,403742.0,448153.62000000005,20187.100000000002,120.00000000000024,5.454545454545449,Low
Connaught Place,406438.0,451146.18000000005,20321.9,120.00000000000024,5.454545454545449,Low
Chirag Delhi,380759.0,422642.49000000005,19037.95,120.00000000000024,5.454545454545448,Low
IGI Airport,411105.0,456326.55000000005,20555.25,120.00000000000021,5.454545454545449,Low
Narsinghpur,385856.0,428300.16000000003,19292.8,120.00000000000017,5.454545454545451,Low
Rithala,426177.0,473056.47000000003,21308.850000000002,120.00000000000013,5.4545454545454515,Low
Pragati Maidan,434966.0,509981.87536231894,21748.300000000003,244.9275362318845,3.478991596638651,Low
Hero Honda Chowk,415440.0,461138.4,20772.0,120.00000000000011,5.4545454545454515,Low
Sultanpur,418314.0,466297.0764705883,20915.7,129.41176470588255,5.230769230769226,Low
Seelampur,391914.0,435024.54000000004,19595.7,120.00000000000017,5.45454545454545,Low
