zone,total_rides,total_revenue,avg_ride_growth_rate,recent_ride_growth_rate,overall_growth_index,growth_category,volume_rank,growth_rank,overall_rank
Udyog Bhawan,838,396478.0,5.129038300096597,48.27586206896552,79.54366365405305,Medium Growth,114.0,1.0,1.0
Sarojini Nagar,848,411007.0,4.335562466699451,52.727272727272734,76.53468993193414,Medium Growth,90.0,3.0,2.0
Paschim Vihar,825,390474.0,4.688861636960522,52.0,76.52037199643466,Medium Growth,143.0,2.0,3.0
Kadarpur,844,409977.0,4.059583083998435,40.35087719298245,76.13571767725058,Medium Growth,100.0,4.0,4.0
Azadpur,847,396462.0,4.083173606687816,14.28571428571428,74.90592922397222,Medium Growth,94.0,11.0,5.0
Nehru Place,885,417442.0,3.539694261976518,46.031746031746025,74.87896030594777,Medium Growth,21.0,5.0,6.0
Central Secretariat,839,399762.0,3.4890895646508047,33.84615384615384,73.90662027843588,Medium Growth,110.0,7.0,7.0
Rajiv Nagar,884,411600.0,2.9069231001307814,19.444444444444443,72.30319676367047,Medium Growth,23.0,24.0,8.0
Hauz Rani,850,404163.0,5.105548359330788,15.15151515151516,72.27547837951641,Medium Growth,85.0,6.0,9.0
Saket,931,422466.0,2.5622911469149816,28.205128205128215,72.26220512902299,Medium Growth,3.0,20.0,10.0
Panchsheel Park,876,420521.0,3.00840448547546,24.590163934426236,70.31793989562001,Medium Growth,35.0,19.0,11.0
Sadar Bazar Gurgaon,817,376061.0,2.4200003018906417,47.169811320754704,70.08308189460628,Medium Growth,162.0,9.0,12.0
Pataudi Chowk,907,450702.0,2.2747325047334352,11.940298507462677,69.59635968319039,Medium Growth,10.0,40.0,13.0
DLF City Court,864,420631.0,1.8646689101848049,8.450704225352123,69.2615878571214,Medium Growth,58.0,51.0,14.0
Manesar,824,393982.0,3.520682762644479,28.787878787878785,69.20757084028668,Medium Growth,148.0,8.0,15.0
Qutub Minar,823,390770.0,3.6126090722221433,17.460317460317466,69.12540857262805,Medium Growth,153.0,14.0,16.0
IIT Delhi,826,385671.0,2.6555422237505115,5.47945205479452,68.93837576184214,Medium Growth,141.0,39.0,17.0
Rohini East,866,409921.0,3.3365990612679224,22.058823529411775,68.8910383417962,Medium Growth,55.0,15.0,18.0
Malviya Nagar,885,420747.0,1.2575580768853336,38.095238095238095,68.78670100846624,Medium Growth,21.0,28.0,19.0
Uttam Nagar,825,392446.0,3.680282051847145,18.333333333333336,68.6190192724104,Medium Growth,143.0,12.0,20.0
Gwal Pahari,815,384520.0,4.507417218021432,10.606060606060597,68.56657375324357,Medium Growth,163.0,10.0,21.0
Rajouri Garden,852,410834.0,1.8306561565086084,-1.449275362318836,68.47982361692235,Medium Growth,81.0,70.0,22.0
Munirka,815,390753.0,4.463935911570728,1.2820512820512775,68.17471585079382,Medium Growth,163.0,17.0,23.0
Ardee City,861,409637.0,1.5789244924158525,16.666666666666675,67.84503419097287,Medium Growth,66.0,48.0,24.0
Paharganj,825,413278.0,3.2348608787433024,10.95890410958904,67.82973558617678,Medium Growth,143.0,27.0,25.0
Satguru Ram Singh Marg,844,406935.0,1.303676447080498,11.764705882352944,67.71453683981852,Medium Growth,100.0,66.0,26.0
Welcome,836,407963.0,3.1276650153005097,5.633802816901401,67.62326524197111,Medium Growth,118.0,29.0,27.0
ITO,878,435165.0,1.963192443567621,24.590163934426236,67.48554381010207,Medium Growth,33.0,32.0,28.0
Pitampura,851,398038.0,2.395117157926869,31.034482758620683,67.44249230536943,Medium Growth,83.0,21.0,29.0
Rohini,847,397704.0,3.9798022926270153,10.447761194029859,67.3186794094573,Medium Growth,94.0,16.0,30.0
Sushant Lok,850,399237.0,1.0745664633924124,33.33333333333333,67.20500760659458,Medium Growth,85.0,37.0,31.0
Jahangirpuri,884,421873.0,1.63726111695126,8.450704225352123,67.10184181505463,Medium Growth,23.0,63.0,32.0
Rohini West,835,414773.0,2.1217397788456065,11.764705882352944,66.4529631083034,Medium Growth,120.0,42.0,33.0
Mehrauli,915,422798.0,1.2504807311197033,-1.3698630136986356,66.40122846050467,Medium Growth,8.0,84.0,34.0
Ashok Park Main,884,428211.0,2.7975871397401106,30.000000000000004,66.35953780669577,Medium Growth,23.0,18.0,35.0
Hauz Khas,876,421383.0,1.3510981060655576,7.692307692307687,66.07937405336219,Medium Growth,35.0,68.0,36.0
Sarai Kale Khan,854,417569.0,2.726358842580733,6.944444444444442,66.06406383565441,Medium Growth,76.0,34.0,37.0
Bhikaji Cama Place,821,386735.0,3.2698678307891473,12.12121212121211,65.68779313010245,Medium Growth,156.0,26.0,38.0
Govindpuri,827,384542.0,2.226085717033372,13.157894736842103,65.17120544258697,Medium Growth,136.0,38.0,39.0
IFFCO Chowk,830,398927.0,1.5129543163162795,8.196721311475418,65.10665104190109,Medium Growth,130.0,65.0,40.0
Gurgaon Railway Station,876,427023.0,1.5946188010023254,-5.128205128205132,65.00762323620076,Medium Growth,35.0,82.0,41.0
Panipat,843,408121.0,1.8997507175104373,5.633802816901401,64.96421492127104,Medium Growth,103.0,57.0,42.0
Botanical Garden,863,430062.0,2.062036091927396,1.449275362318847,64.95009920291241,Medium Growth,60.0,61.0,43.0
DLF Phase 3,842,401056.0,2.149024435692559,9.859154929577475,64.83905767333512,Medium Growth,104.0,43.0,44.0
Mundka,830,405370.0,2.150744165159154,20.63492063492063,64.75060306328999,Medium Growth,130.0,33.0,45.0
Shastri Park,867,404088.0,4.3841889402332,5.633802816901401,64.46292684271239,Medium Growth,53.0,13.0,46.0
Saket A Block,823,387840.0,1.6691287246234625,10.769230769230775,63.948890928188874,Medium Growth,153.0,55.0,47.0
Karkarduma,836,393285.0,2.8817047919014485,0.0,63.76858675792255,Medium Growth,118.0,41.0,48.0
Kaushambi,855,416506.0,2.7396720533912573,-3.703703703703709,63.713348489604925,Medium Growth,74.0,49.0,49.0
Dwarka Mor,840,409203.0,1.353593744792172,12.5,63.660665365406295,Medium Growth,108.0,64.0,50.0
Adarsh Nagar,858,387013.0,1.8181712097609803,5.882352941176472,63.647543585175995,Medium Growth,71.0,60.0,51.0
Maidan Garhi,825,388611.0,1.9942825405351046,-7.9999999999999964,63.57267203925937,Medium Growth,143.0,74.0,52.0
Patel Chowk,854,394432.0,1.5325775702338207,16.92307692307693,62.922588694851,Medium Growth,76.0,50.0,53.0
Peeragarhi,861,416593.0,2.7371324284061656,-7.692307692307687,62.818145274946744,Medium Growth,66.0,54.0,54.0
Shivaji Park,900,430624.0,0.8568712628732769,1.5625,62.59397173045065,Medium Growth,11.0,90.0,55.0
Vatika Chowk,833,375053.0,1.570793391645697,0.0,62.45892213893089,Medium Growth,124.0,73.0,56.0
Huda City Centre,852,412534.0,1.8037386436901643,6.329113924050622,62.3977250795354,Medium Growth,81.0,58.0,57.0
Noida Sector 18,799,389016.0,3.9148230790161547,1.5625,62.06348938399147,Medium Growth,173.0,25.0,58.0
Vinobapuri,823,385688.0,3.7839058384884168,5.882352941176472,61.87747868267207,Medium Growth,153.0,22.0,59.0
Sikanderpur,855,391353.0,2.8060898313024585,-4.054054054054057,61.84237102922942,Medium Growth,74.0,47.0,60.0
IGNOU Road,818,403924.0,1.973011126721355,18.032786885245898,61.816516585794304,Medium Growth,159.0,36.0,61.0
AIIMS,918,449519.0,-0.7060558304646548,13.235294117647056,61.80685197878081,Medium Growth,7.0,113.0,62.0
Badarpur,921,448495.0,1.1069983207090577,-10.126582278481012,61.76958861012815,Medium Growth,4.0,99.0,63.0
Okhla,827,409262.0,2.340252330063126,-3.703703703703709,61.73519031861705,Medium Growth,136.0,62.0,64.0
Lajpat Nagar,826,393459.0,2.1975844519849237,21.42857142857142,61.6785939849046,Medium Growth,141.0,30.0,65.0
Tis Hazari,842,407726.0,0.5136801039065464,20.338983050847446,61.65550386895822,Medium Growth,104.0,72.0,66.0
Greater Noida,866,443575.0,0.4973192713486373,-10.666666666666668,61.45402923857782,Medium Growth,55.0,120.0,67.0
INA Market,839,391989.0,1.1499097398854885,20.370370370370374,61.42191164601148,Medium Growth,110.0,53.0,68.0
Sohna Road,842,410096.0,0.18859490258503941,10.144927536231885,61.36681996290277,Medium Growth,104.0,94.0,69.0
Mansarovar Park,877,410340.0,2.208088139039285,-7.8947368421052655,61.3419604490541,Medium Growth,34.0,69.0,70.0
Anand Vihar,859,401098.0,0.49750657466904186,-7.352941176470584,61.292138898642975,Medium Growth,70.0,112.0,71.0
Udyog Vihar,897,442274.0,1.2263881563292005,-7.86516853932584,61.23582638388425,Medium Growth,13.0,95.0,72.0
Basai Dhankot,862,425497.0,0.3636443984807801,0.0,61.10632169027038,Medium Growth,62.0,102.0,73.0
Vidhan Sabha,825,384050.0,2.942255350646015,-13.513513513513509,61.03841506485479,Medium Growth,143.0,59.0,74.0
MG Road,820,385292.0,0.007161058890525157,3.1746031746031855,60.99703954420491,Medium Growth,157.0,109.0,75.0
Jasola,887,424511.0,-0.44446304259277464,14.0625,60.88215665858354,Medium Growth,18.0,101.0,76.0
Tughlakabad,869,435165.0,0.7139026309422604,11.111111111111116,60.87296981055242,Medium Growth,45.0,79.0,77.0
Ashram,874,427364.0,2.286122629276821,7.246376811594213,60.87046859049137,Medium Growth,38.0,45.0,78.0
Ambience Mall,873,407878.0,0.6774568306750085,5.882352941176472,60.86686816545193,Medium Growth,39.0,87.0,79.0
Civil Lines Gurgaon,863,413951.0,2.7202531683339,5.633802816901401,60.67111291164122,Medium Growth,60.0,35.0,80.0
Preet Vihar,832,399664.0,1.0387441875210313,1.5873015873015817,60.55881403601921,Medium Growth,125.0,85.0,81.0
RK Puram,850,405689.0,1.237988532819414,-4.109589041095896,60.47999424911508,Medium Growth,85.0,88.0,82.0
Nawada,880,397674.0,-0.17092984232219424,18.032786885245898,60.456889805279225,Medium Growth,29.0,91.0,83.0
Samaypur Badli,879,422291.0,-0.37496543133922877,11.475409836065564,60.30989562690267,Medium Growth,31.0,104.0,84.0
Keshav Puram,865,428418.0,-0.5700540686590428,5.882352941176472,60.30707555734847,Medium Growth,57.0,123.0,85.0
Khandsa,949,457320.0,1.2753590978751468,-17.204301075268813,60.023166083063174,Medium Growth,1.0,105.0,86.0
Arjangarh,810,406092.0,2.498909591457458,1.4084507042253502,59.93501884451453,Stable,166.0,46.0,87.0
Indraprastha,850,415594.0,0.8528459455654492,2.9850746268656803,59.906359211820686,Stable,85.0,86.0,88.0
Greater Kailash,895,415768.0,0.5371105062786001,-19.277108433734934,59.84263696826237,Stable,14.0,132.0,89.0
Ramesh Nagar,811,401278.0,0.9654762604277171,-17.105263157894733,59.791846405345,Stable,165.0,115.0,90.0
Rajiv Chowk,830,407802.0,1.710738302175985,10.9375,59.748038015082145,Stable,130.0,52.0,91.0
Dilshad Garden,804,395820.0,1.1460380071861342,3.076923076923066,59.68927361654346,Stable,168.0,80.0,92.0
Bahadurgarh,802,380322.0,1.803027819846448,-16.883116883116877,59.60585308204821,Stable,170.0,93.0,93.0
Old Gurgaon,807,380599.0,2.2728789458542917,7.692307692307687,59.47237716004357,Stable,167.0,44.0,94.0
Golf Course Road,818,387519.0,2.7534654629613926,-17.567567567567565,59.36650092982703,Stable,159.0,71.0,95.0
Madipur,919,434085.0,-1.0458275455879678,6.666666666666665,58.991071502186784,Stable,6.0,135.0,96.0
Indirapuram,854,410350.0,1.4823552861178733,-4.225352112676061,58.839874568619194,Stable,76.0,83.0,97.0
Chandni Chowk,862,403742.0,1.0779394911987197,-3.797468354430378,58.795932790842734,Stable,62.0,92.0,98.0
Connaught Place,837,406438.0,2.1468491842942905,-10.666666666666668,58.682518880067335,Stable,117.0,75.0,99.0
Chirag Delhi,800,380759.0,2.273189124312482,0.0,58.63598442044452,Stable,171.0,56.0,100.0
IGI Airport,879,411105.0,0.37761355399791746,-7.594936708860756,58.491132959688876,Stable,31.0,118.0,101.0
Narsinghpur,839,385856.0,-0.4681919620900102,0.0,58.379360452342965,Stable,110.0,127.0,102.0
Rithala,872,426177.0,1.533257899215304,-1.3698630136986356,58.3126506705119,Stable,42.0,76.0,103.0
Pragati Maidan,920,434966.0,-1.2468583232542654,7.246376811594213,58.147689662145154,Stable,5.0,140.0,104.0
Hero Honda Chowk,857,415440.0,-1.0316973211710054,0.0,58.13934258155057,Stable,72.0,144.0,105.0
Sultanpur,847,418314.0,3.9589408575321543,1.4705882352941124,57.980188218348616,Stable,94.0,23.0,106.0
Seelampur,832,391914.0,4.82404712990641,-24.418604651162788,57.89118420011957,Stable,125.0,31.0,107.0
Yamuna Bank,824,393836.0,0.05010062969956174,2.898550724637672,57.83682268932357,Stable,148.0,108.0,108.0
Gurgaon Sector 29,824,382801.0,-0.6931650229179945,4.285714285714293,57.80205151655815,Stable,148.0,126.0,109.0
New Colony,881,429310.0,2.2694338299953394,-30.000000000000004,57.800807463946725,Stable,28.0,98.0,110.0
Model Town,867,395974.0,1.2688959812263336,2.941176470588225,57.7988943943395,Stable,53.0,77.0,111.0
Kashmere Gate ISBT,838,402063.0,0.5467967732616867,-6.849315068493156,57.25834931597128,Stable,114.0,110.0,112.0
Tagore Garden,889,435444.0,-0.37181643245222307,-6.578947368421051,57.23717563004505,Stable,17.0,138.0,113.0
Bhiwadi,848,408441.0,1.609457865183012,5.882352941176472,57.2105227416023,Stable,90.0,67.0,114.0
Kalkaji,803,386226.0,0.671218712452356,-1.4084507042253502,57.20423867727724,Stable,169.0,97.0,115.0
Udyog Vihar Phase 4,838,396936.0,0.6123054816293929,-20.238095238095234,57.18559073211813,Stable,114.0,130.0,116.0
Chanakyapuri,873,412285.0,1.049247784006983,-21.42857142857143,57.1478804640053,Stable,39.0,121.0,117.0
Gurgaon Sector 56,829,400402.0,-0.29421688817548836,8.92857142857142,57.14504426478916,Stable,134.0,107.0,118.0
Noida Film City,883,426084.0,-0.4968873752348095,-22.78481012658228,56.890863298799616,Stable,27.0,158.0,119.0
Akshardham,839,385633.0,-0.4362734546098823,7.9365079365079305,56.76245208209578,Stable,110.0,114.0,120.0
Shahdara,820,392220.0,-0.9968447394684642,16.393442622950815,56.677849429164226,Stable,157.0,117.0,121.0
Ghitorni,862,410834.0,-1.8127351719156508,0.0,56.61208273854507,Stable,62.0,159.0,122.0
Noida Extension,827,400064.0,-0.7279049474406669,-7.14285714285714,56.530398065333955,Stable,136.0,148.0,123.0
Mayur Vihar,868,432947.0,0.7538004022007524,3.5087719298245723,56.5245483831625,Stable,48.0,89.0,124.0
Lok Kalyan Marg,880,421207.0,-0.060715258262785614,-11.111111111111116,56.462994633778116,Stable,29.0,137.0,125.0
Anand Vihar ISBT,831,416948.0,-0.8396707135556946,-9.230769230769232,56.03285694572162,Stable,128.0,154.0,126.0
Subhash Chowk,887,433714.0,1.3937746844880337,-1.2820512820512775,55.9634065944905,Stable,18.0,81.0,127.0
