pickup_location,rides,avg_booking_value,avg_ride_distance,cluster,cluster_label
AIIMS,918,489.6721132897604,24.326960784313727,1,High Demand
Adarsh Nagar,858,451.06410256410254,24.60742424242424,2,Low Demand
Akshardham,839,459.63408820023835,23.7973420738975,2,Low Demand
Ambience Mall,873,467.2142038946163,23.666254295532646,1,High Demand
Anand Vihar,859,466.9359720605355,24.50528521536671,2,Low Demand
Anand Vihar ISBT,831,501.7424789410349,25.245354993983153,0,Medium Demand
Ardee City,861,475.76887340301977,24.095505226480835,1,High Demand
Arjangarh,810,501.34814814814814,24.455370370370368,0,Medium Demand
Ashok Park Main,884,484.40158371040724,24.393857466063345,1,High Demand
Ashok Vihar,796,485.27763819095475,24.24721105527638,2,Low Demand
Ashram,874,488.97482837528605,24.813340961098397,0,Medium Demand
Aya Nagar,870,472.4413793103448,24.624597701149426,2,Low Demand
Azadpur,847,468.0779220779221,24.355230224321133,2,Low Demand
Badarpur,921,486.9652551574376,24.21790445168295,1,High Demand
Badshahpur,868,482.2857142857143,24.22057603686636,1,High Demand
Bahadurgarh,802,474.21695760598504,24.73002493765586,2,Low Demand
Barakhamba Road,946,486.6659619450317,23.42602536997886,1,High Demand
Basai Dhankot,862,493.61600928074245,24.712761020881672,0,Medium Demand
Bhikaji Cama Place,821,471.0535931790499,24.648587088915953,2,Low Demand
Bhiwadi,848,481.65212264150944,24.625377358490567,0,Medium Demand
Botanical Garden,863,498.3337195828505,24.879003476245654,0,Medium Demand
Central Secretariat,839,476.4743742550655,24.16259833134684,2,Low Demand
Chanakyapuri,873,472.262313860252,25.023699885452462,0,Medium Demand
Chandni Chowk,862,468.37819025522043,24.38852668213457,2,Low Demand
Chhatarpur,829,467.437876960193,24.17412545235223,2,Low Demand
Chirag Delhi,800,475.94875,24.277624999999997,2,Low Demand
Civil Lines Gurgaon,863,479.6651216685979,24.34479721900348,1,High Demand
Connaught Place,837,485.5890083632019,24.075878136200714,2,Low Demand
Cyber Hub,864,475.88194444444446,23.186516203703704,1,High Demand
DLF City Court,864,486.84143518518516,24.402835648148148,0,Medium Demand
DLF Phase 3,842,476.31353919239905,24.633408551068882,2,Low Demand
Delhi Gate,854,473.44379391100705,24.29608899297424,2,Low Demand
Dilshad Garden,804,492.3134328358209,24.391094527363183,0,Medium Demand
Dwarka Mor,840,487.14642857142854,23.805690476190474,1,High Demand
Dwarka Sector 21,914,479.40371991247264,24.58129102844639,1,High Demand
Faridabad Sector 15,831,460.9663056558363,24.01688327316486,2,Low Demand
GTB Nagar,872,474.197247706422,24.834071100917434,0,Medium Demand
Ghaziabad,851,481.81668625146887,24.6372267920094,0,Medium Demand
